alpha_3_code,land,water
RUS,16378410,719836
CHN,9326410,270550
USA,9147593,685924
CAN,9093507,891163
BRA,8460415,55352
AUS,7682300,58920
IND,2973190,314070
ARG,2736690,43710
KAZ,2699700,25202
DZA,2381741,0
COD,2267048,77810
SAU,2149690,0
MEX,1943945,20430
IDN,1811569,93000
LBY,1759540,0
SDN,1731671,129813
MNG,1553556,10560
IRN,1531595,116600
PER,1279996,5220
NER,1266700,300
TCD,1259200,24800
AGO,1246700,0
MLI,1220190,20002
ZAF,1214470,4620
ETH,1096570,7730
BOL,1083300,15280
COL,1038700,100210
MRT,1025520,4480
EGY,995450,6000
NGA,910768,13000
TZA,885800,61500
VEN,882050,30000
PAK,856690,25223
NAM,823290,2425
MOZ,786380,13000
TUR,769632,13930
CHL,743812,12290
ZMB,743398,9220
MMR,653508,23070
AFG,652230,630
SSD,644329,0
FRA,640427,3374
SOM,627337,10320
CAF,622984,0
MDG,581540,5501
UKR,579300,24250
KEN,569140,11227
BWA,566730,15000
YEM,527968,0
THA,510890,2230
ESP,498980,6390
CMR,472710,2730
TKM,469930,18170
PNG,452860,9980
MAR,446300,250
IRQ,437367,950
UZB,425400,22000
SWE,407284,40142
PRY,397302,9450
ZWE,386847,3910
NOR,365957,19520
JPN,364485,13430
DEU,349390,7860
COG,341500,500
MYS,329613,1190
CIV,318000,4460
POL,311888,791
VNM,310070,21140
OMN,309500,0
FIN,303815,34330
PHL,298170,1830
ITA,295717,6350
ECU,276841,6720
BFA,273800,400
NZL,262443,4395
GAB,257670,10000
GIN,245717,140
GBR,241930,1680
ROU,231291,7100
LAO,230800,6000
GHA,227533,11000
BLR,202900,4700
UGA,197100,43938
GUY,196850,18120
SEN,192530,4192
KGZ,191800,8150
SYR,183630,1550
KHM,176520,4520
URY,175015,1200
SUR,156000,7820
TUN,155360,8250
NPL,143686,3830
TJK,141510,2590
BGD,130170,18290
GRC,128900,1310
PRK,120538,2
NIC,119990,10380
BEN,112760,2000
HND,111890,600
BGR,108489,2390
GTM,107160,1730
CUB,103800,6080
ERI,101000,16600
ISL,100830,2170
KOR,99909,301
LBR,96320,15049
MWI,94080,24404
HUN,91260,1770
PRT,91119,1107
JOR,88794,524
SRB,88384,115
ARE,83600,0
AZE,82650,3950
AUT,82520,1359
CZE,77187,1684
PAN,74340,1080
SLE,71620,120
GEO,69490,210
IRL,68883,1390
LKA,62732,2878
LTU,62610,2680
LVA,62230,2370
HRV,55974,620
TGO,54385,2400
BIH,51200,10
CRI,51060,40
DOM,48320,350
SVK,48105,930
DNK,42434,660
EST,42388,2840
CHE,39997,1280
BTN,38140,250
NLD,33893,7957
MDA,32891,960
LSO,30360,0
BEL,30280,250
ARM,28470,1270
GNB,28120,8010
GNQ,28051,0
SLB,27986,910
HTI,27560,190
ALB,27400,330
BDI,25680,2150
MKD,25433,280
RWA,24668,1670
DJI,23180,20
BLZ,22810,160
ISR,21497,440
SLV,20720,320
SVN,20151,120
FJI,18272,0
KWT,17820,0
SWZ,17200,160
TLS,14874,0
MNE,13452,360
VUT,12189,0
QAT,11586,0
JAM,10830,160
LBN,10230,220
GMB,10120,1180
BHS,10010,3870
CYP,9241,10
PSE,6000,220
BRN,5270,500
TTO,5128,0
CPV,4033,0
WSM,2821,10
LUX,2574,16
MUS,2030,10
COM,1861,0
STP,964,0
KIR,811,0
BHR,778,0
DMA,750,0
TON,717,30
SGP,716,10
FSM,702,0
LCA,606,10
AND,468,0
PLW,459,0
SYC,455,0
ATG,442,0
BRB,431,0
VCT,389,0
GRD,340,0
MLT,316,0
MDV,298,0
KNA,261,0
MHL,181,0
LIE,160,0
SMR,61,0
TUV,26,0
NRU,21,0
MCO,2,0
VAT,0,0
